"","no rank","superkingdom","phylum","class","order","family","genus","species","subphylum","name_id"
"26","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcina mazei",NA,"Methanosarcina mazei S-6|213585"
"27","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcina mazei",NA,"Methanosarcina mazei LYC|1434114"
"28","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcina mazei",NA,"Methanosarcina mazei C16|1434113"
"29","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcina mazei",NA,"Methanosarcina mazei|2209"
"30","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcina thermophila",NA,"Methanosarcina thermophila TM-1|523844"
"31","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcina thermophila",NA,"Methanosarcina thermophila CHTI-55|1434121"
"32","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcina thermophila",NA,"Methanosarcina thermophila|2210"
"33","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcina acetivorans",NA,"Methanosarcina acetivorans C2A|188937"
"34","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcina vacuolata",NA,"Methanosarcina vacuolata Z-761|1434123"
"35","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanotrichaceae","Methanothrix","Methanothrix soehngenii",NA,"Methanothrix soehngenii GP6|990316"
"36","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanotrichaceae","Methanothrix","Methanothrix thermoacetophila",NA,"Methanothrix thermoacetophila PT|349307"
"37","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanococcoides","Methanococcoides methylutens",NA,"Methanococcoides methylutens MM1|1434104"
"38","cellular organisms","Archaea","Euryarchaeota","Archaeoglobi","Archaeoglobales","Archaeoglobaceae","Archaeoglobus","Archaeoglobus fulgidus",NA,"Archaeoglobus fulgidus DSM 4304|224325"
"39","cellular organisms","Archaea","Euryarchaeota","Archaeoglobi","Archaeoglobales","Archaeoglobaceae","Archaeoglobus","Archaeoglobus fulgidus",NA,"Archaeoglobus fulgidus DSM 8774|1344584"
"40","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Haloarcula","Haloarcula marismortui",NA,"Haloarcula marismortui ATCC 43049|272569"
"41","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Haloarcula","Haloarcula marismortui",NA,"Haloarcula marismortui ATCC 43049|272569"
"42","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halobacterium","Halobacterium salinarum",NA,"Halobacterium salinarum NRC-1|64091"
